File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF634VSH	bam	alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1			28				ENCFF000WCS, ENCFF643CGH	435519372	ENCODE Processing Pipeline	e018b502f48e83be7f1bf6d77833a14b		https://www.encodeproject.org/files/ENCFF634VSH/@@download/ENCFF634VSH.bam	GRCh38				released	s3://encode-public/2017/01/05/ba3c552d-df56-483a-801f-95322107301c/ENCFF634VSH.bam				
ENCFF048NRD	bam	alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2			28				ENCFF000WCR, ENCFF643CGH	409018113	ENCODE Processing Pipeline	1a73604df77c86aec83885b3865bc38c		https://www.encodeproject.org/files/ENCFF048NRD/@@download/ENCFF048NRD.bam	GRCh38				released	s3://encode-public/2017/01/05/9933fd54-683d-4f23-95d5-682b3b2b026c/ENCFF048NRD.bam				
ENCFF546LAR	bam	unfiltered alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2			28				ENCFF000WCR, ENCFF643CGH	896392525	ENCODE Processing Pipeline	c46a6da78ee1bab221d5c528da454254		https://www.encodeproject.org/files/ENCFF546LAR/@@download/ENCFF546LAR.bam	GRCh38				released	s3://encode-public/2017/01/05/04b6e027-d69c-43d7-a527-1eef6b6dbd5d/ENCFF546LAR.bam				
ENCFF015AEA	bam	unfiltered alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1			28				ENCFF000WCS, ENCFF807MUK	687232526	ENCODE Processing Pipeline	86514ff2988659aadff34a1ad4e0ab5f		https://www.encodeproject.org/files/ENCFF015AEA/@@download/ENCFF015AEA.bam	hg19				released	s3://encode-public/2017/01/05/d54fd6d3-6acf-48c4-b293-a3323360623c/ENCFF015AEA.bam				
ENCFF898ZMA	bam	alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1			28				ENCFF000WCS, ENCFF807MUK	434930583	ENCODE Processing Pipeline	63f1ade0ed4be6cd931b18af0051c98e		https://www.encodeproject.org/files/ENCFF898ZMA/@@download/ENCFF898ZMA.bam	hg19				released	s3://encode-public/2017/01/05/346d132b-0245-4c14-af67-194ed71db621/ENCFF898ZMA.bam				
ENCFF625MLW	bam	unfiltered alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2			28				ENCFF000WCR, ENCFF807MUK	894162393	ENCODE Processing Pipeline	20d601dd077eb3fce6eb242c519d4471		https://www.encodeproject.org/files/ENCFF625MLW/@@download/ENCFF625MLW.bam	hg19				released	s3://encode-public/2017/01/05/7983c36e-ed7c-4314-ab21-6518377eacfe/ENCFF625MLW.bam				
ENCFF785LYN	bam	alignments	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2			28				ENCFF000WCR, ENCFF807MUK	406376259	ENCODE Processing Pipeline	df043a90bfc841dc79a34cd8a8984edb		https://www.encodeproject.org/files/ENCFF785LYN/@@download/ENCFF785LYN.bam	hg19				released	s3://encode-public/2017/01/05/13c650a8-b5dd-4181-9d76-8e861aef3653/ENCFF785LYN.bam				
ENCFF940CQB	bigWig	fold change over control	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2							ENCFF545DZO, ENCFF785LYN	143848711	ENCODE Processing Pipeline	af1872104ef646ae0ae111800d239edf		https://www.encodeproject.org/files/ENCFF940CQB/@@download/ENCFF940CQB.bigWig	hg19				released	s3://encode-public/2017/07/20/419cd94e-32fb-475a-a117-ac117364daeb/ENCFF940CQB.bigWig				
ENCFF574RRB	bed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF110OHA, ENCFF545DZO, ENCFF898ZMA	5189428	ENCODE Processing Pipeline	6b8c83bba58d4be8d759522b6ad65ed2		https://www.encodeproject.org/files/ENCFF574RRB/@@download/ENCFF574RRB.bed.gz	hg19				released	s3://encode-public/2017/07/20/e2941b30-7b7b-4c21-921b-3fba1c325848/ENCFF574RRB.bed.gz				
ENCFF707YNJ	bed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF110OHA, ENCFF545DZO, ENCFF785LYN, ENCFF898ZMA	6218903	ENCODE Processing Pipeline	6e12d74695c1715c45fe1cc82a7ab515		https://www.encodeproject.org/files/ENCFF707YNJ/@@download/ENCFF707YNJ.bed.gz	hg19				released	s3://encode-public/2017/07/20/f0de4264-7437-4133-bf10-c824110f15f4/ENCFF707YNJ.bed.gz				
ENCFF641KLQ	bigWig	signal p-value	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2							ENCFF545DZO, ENCFF785LYN	82816697	ENCODE Processing Pipeline	6082cd05c483eb4b34941633719c72cc		https://www.encodeproject.org/files/ENCFF641KLQ/@@download/ENCFF641KLQ.bigWig	hg19				released	s3://encode-public/2017/07/20/826cac98-9d68-4278-a365-e0b3b36ab057/ENCFF641KLQ.bigWig				
ENCFF462SJO	bigWig	signal p-value	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF110OHA, ENCFF545DZO, ENCFF898ZMA	188612448	ENCODE Processing Pipeline	2f2229b3e29cc26f1a90ee36541c21ec		https://www.encodeproject.org/files/ENCFF462SJO/@@download/ENCFF462SJO.bigWig	hg19				released	s3://encode-public/2017/07/20/41ef44f3-a684-4ded-946c-b177eaf21995/ENCFF462SJO.bigWig				
ENCFF521QIX	bigWig	fold change over control	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF110OHA, ENCFF545DZO, ENCFF898ZMA	181672544	ENCODE Processing Pipeline	1728002ff5d59c5b872d7a26e8d452ca		https://www.encodeproject.org/files/ENCFF521QIX/@@download/ENCFF521QIX.bigWig	hg19				released	s3://encode-public/2017/07/20/aef602a8-1cc2-4452-bb1f-2eb441cb43e8/ENCFF521QIX.bigWig				
ENCFF156MYB	bigWig	signal p-value	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF110OHA, ENCFF545DZO, ENCFF785LYN, ENCFF898ZMA	170928457	ENCODE Processing Pipeline	6588bac926cc96668536112dc68d01db		https://www.encodeproject.org/files/ENCFF156MYB/@@download/ENCFF156MYB.bigWig	hg19				released	s3://encode-public/2017/07/20/b4e8180d-c6d0-42f8-886b-01c3fcde9417/ENCFF156MYB.bigWig				
ENCFF031RUV	bigWig	fold change over control	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF110OHA, ENCFF545DZO, ENCFF785LYN, ENCFF898ZMA	322837923	ENCODE Processing Pipeline	733587aac39a04783f67d7b8c1c8f960		https://www.encodeproject.org/files/ENCFF031RUV/@@download/ENCFF031RUV.bigWig	hg19				released	s3://encode-public/2017/07/20/5f677e6f-0ea1-4f73-9762-2f7835c4356d/ENCFF031RUV.bigWig				
ENCFF998HJZ	bed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2							ENCFF545DZO, ENCFF785LYN	5176576	ENCODE Processing Pipeline	a2d99ba2a87a699516c2a539ff405c66		https://www.encodeproject.org/files/ENCFF998HJZ/@@download/ENCFF998HJZ.bed.gz	hg19				released	s3://encode-public/2017/07/20/a586ef25-e9b5-4ce6-b481-357fee2f8775/ENCFF998HJZ.bed.gz				
ENCFF630NFM	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF574RRB, ENCFF707YNJ, ENCFF998HJZ	276969	ENCODE Processing Pipeline	3b995de8b5a72e9d927f21ec57194d6c		https://www.encodeproject.org/files/ENCFF630NFM/@@download/ENCFF630NFM.bed.gz	hg19				released	s3://encode-public/2017/07/20/56b58dcb-8cc6-4450-8a7c-fc920c868733/ENCFF630NFM.bed.gz				
ENCFF776YJF	bigBed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF574RRB	12321647	ENCODE Processing Pipeline	0a134eff5fdc93f2968e6b1a9ad8831e		https://www.encodeproject.org/files/ENCFF776YJF/@@download/ENCFF776YJF.bigBed	hg19				released	s3://encode-public/2017/07/20/65edc2d3-ffe4-4b8c-8d1c-c4f7b89cc70b/ENCFF776YJF.bigBed				
ENCFF838MWP	bed narrowPeak	conservative IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF574RRB, ENCFF707YNJ, ENCFF998HJZ	202172	ENCODE Processing Pipeline	1d5e843d35bc289f4e42170828207fa3		https://www.encodeproject.org/files/ENCFF838MWP/@@download/ENCFF838MWP.bed.gz	hg19				released	s3://encode-public/2017/07/20/10faf029-574b-4a9e-ad61-c9004d5fb916/ENCFF838MWP.bed.gz				
ENCFF739UET	bigBed narrowPeak	optimal IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF630NFM	641167	ENCODE Processing Pipeline	eb1b466029a7f0beae1b9d8c9596dda1		https://www.encodeproject.org/files/ENCFF739UET/@@download/ENCFF739UET.bigBed	hg19				released	s3://encode-public/2017/07/20/27fb1a47-bcca-4638-a0a4-130bf054c1e6/ENCFF739UET.bigBed				
ENCFF264HZR	bigBed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF707YNJ	12450464	ENCODE Processing Pipeline	7dce1b579a2eeb2f1857578bb225725f		https://www.encodeproject.org/files/ENCFF264HZR/@@download/ENCFF264HZR.bigBed	hg19				released	s3://encode-public/2017/07/20/31d4b510-473e-44d9-96af-cb9aae074d40/ENCFF264HZR.bigBed				
ENCFF654JPU	bigBed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2							ENCFF998HJZ	11983601	ENCODE Processing Pipeline	5f5f3855c10d73f86b895dc6bdd5e392		https://www.encodeproject.org/files/ENCFF654JPU/@@download/ENCFF654JPU.bigBed	hg19				released	s3://encode-public/2017/07/20/7923eadd-dd28-420b-985b-f89eb3c69c35/ENCFF654JPU.bigBed				
ENCFF158UFB	bigBed narrowPeak	conservative IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF838MWP	510735	ENCODE Processing Pipeline	295200c1336e6bebe11a7775fd1e58b8		https://www.encodeproject.org/files/ENCFF158UFB/@@download/ENCFF158UFB.bigBed	hg19				released	s3://encode-public/2017/07/20/e5eee210-890d-4f38-b888-88d1f6a56ada/ENCFF158UFB.bigBed				
ENCFF156EYN	bed narrowPeak	conservative IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF003ZQP, ENCFF081TEE, ENCFF140RTC, ENCFF419RSJ	202670	ENCODE Processing Pipeline	544f183928e76915724a217390acf2a5		https://www.encodeproject.org/files/ENCFF156EYN/@@download/ENCFF156EYN.bed.gz	GRCh38				released	s3://encode-public/2017/07/20/1e1318a9-b18a-4541-bc7a-15d37616976c/ENCFF156EYN.bed.gz				
ENCFF455TPZ	bigWig	fold change over control	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF477ZKJ, ENCFF634VSH, ENCFF710SMS	185308336	ENCODE Processing Pipeline	9ce3167678f4a08ef43e7c6e61ff6bc4		https://www.encodeproject.org/files/ENCFF455TPZ/@@download/ENCFF455TPZ.bigWig	GRCh38				released	s3://encode-public/2017/07/20/18d2e4e5-b2dd-4c4a-9f73-2abc3783561c/ENCFF455TPZ.bigWig				
ENCFF740FMN	bigBed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF003ZQP	12368818	ENCODE Processing Pipeline	02411235067f34c341820ddf012c1fcf		https://www.encodeproject.org/files/ENCFF740FMN/@@download/ENCFF740FMN.bigBed	GRCh38				released	s3://encode-public/2017/07/20/99e861f7-9ddd-4754-aeb8-6a3826488004/ENCFF740FMN.bigBed				
ENCFF981AVZ	bigBed narrowPeak	optimal IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF847DXY	644299	ENCODE Processing Pipeline	bc379a9c0beaa8dc48b62970c1a25b91		https://www.encodeproject.org/files/ENCFF981AVZ/@@download/ENCFF981AVZ.bigBed	GRCh38				released	s3://encode-public/2017/07/20/fe2ce72e-50a8-4811-b646-e6591637c688/ENCFF981AVZ.bigBed				
ENCFF355WRB	bigWig	signal p-value	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF048NRD, ENCFF477ZKJ, ENCFF634VSH, ENCFF710SMS	170867623	ENCODE Processing Pipeline	83e4d0bcecb0891cd90546a03d0950d2		https://www.encodeproject.org/files/ENCFF355WRB/@@download/ENCFF355WRB.bigWig	GRCh38				released	s3://encode-public/2017/07/20/3a5e7a23-f439-40d9-8249-55f8784ada92/ENCFF355WRB.bigWig				
ENCFF086FEO	bigWig	fold change over control	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF048NRD, ENCFF477ZKJ, ENCFF634VSH, ENCFF710SMS	323029476	ENCODE Processing Pipeline	e0d66cc7193332ff65ced1b22cf4d2cd		https://www.encodeproject.org/files/ENCFF086FEO/@@download/ENCFF086FEO.bigWig	GRCh38				released	s3://encode-public/2017/07/20/f63bc7ee-ad7e-4c0f-9148-04f49b0d30ed/ENCFF086FEO.bigWig				
ENCFF003ZQP	bed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF477ZKJ, ENCFF634VSH, ENCFF710SMS	5228691	ENCODE Processing Pipeline	02d0d22bfba5ecf8e953f59f63664560		https://www.encodeproject.org/files/ENCFF003ZQP/@@download/ENCFF003ZQP.bed.gz	GRCh38				released	s3://encode-public/2017/07/20/549a0ed7-a213-4e64-86ce-c5cfc2e819ae/ENCFF003ZQP.bed.gz				
ENCFF928JKA	bigBed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2							ENCFF140RTC	11965837	ENCODE Processing Pipeline	9d1277b3bc3da716330bc21246bf3e32		https://www.encodeproject.org/files/ENCFF928JKA/@@download/ENCFF928JKA.bigBed	GRCh38				released	s3://encode-public/2017/07/20/523fc014-32c5-416d-9f6c-59e0f9b1dbdc/ENCFF928JKA.bigBed				
ENCFF847DXY	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF003ZQP, ENCFF081TEE, ENCFF140RTC, ENCFF419RSJ	278182	ENCODE Processing Pipeline	50a6df14d58a424817063e12f2a4ce55		https://www.encodeproject.org/files/ENCFF847DXY/@@download/ENCFF847DXY.bed.gz	GRCh38				released	s3://encode-public/2017/07/20/75dab1ea-efdf-40a8-8f6c-13040e88bcfa/ENCFF847DXY.bed.gz				
ENCFF140RTC	bed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2							ENCFF048NRD, ENCFF477ZKJ	5171543	ENCODE Processing Pipeline	2896c4b4db0eac7d336277c7bd816c06		https://www.encodeproject.org/files/ENCFF140RTC/@@download/ENCFF140RTC.bed.gz	GRCh38				released	s3://encode-public/2017/07/20/adf8b25d-7ed0-4257-8d44-0d218fe28f62/ENCFF140RTC.bed.gz				
ENCFF901ZUM	bigBed narrowPeak	conservative IDR thresholded peaks	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF156EYN	511743	ENCODE Processing Pipeline	bf6ddbfcdc92358110fa783d9e8530fb		https://www.encodeproject.org/files/ENCFF901ZUM/@@download/ENCFF901ZUM.bigBed	GRCh38				released	s3://encode-public/2017/07/20/60d1bc80-7121-4d9a-8eb7-7032a3a2ef53/ENCFF901ZUM.bigBed				
ENCFF730IJA	bigWig	signal p-value	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1							ENCFF477ZKJ, ENCFF634VSH, ENCFF710SMS	189656132	ENCODE Processing Pipeline	ce20b9483eaa499174f892a5bf296b0d		https://www.encodeproject.org/files/ENCFF730IJA/@@download/ENCFF730IJA.bigWig	GRCh38				released	s3://encode-public/2017/07/20/b6ada41f-9aee-42bd-85c4-53026b7e9dbd/ENCFF730IJA.bigWig				
ENCFF111ISP	bigWig	signal p-value	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				2							ENCFF048NRD, ENCFF477ZKJ	83085346	ENCODE Processing Pipeline	c5903cb870c511ea2d20f33afe704114		https://www.encodeproject.org/files/ENCFF111ISP/@@download/ENCFF111ISP.bigWig	GRCh38				released	s3://encode-public/2017/07/20/b165d270-fd36-457f-ab77-b47ebce96380/ENCFF111ISP.bigWig				
ENCFF291KBU	bigBed narrowPeak	peaks and background as input for IDR	ENCSR000DZK	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										POLR2AphosphoS2-human	DNA		see document	see document		False	2011-10-29	ENCODE				1, 2							ENCFF081TEE	12440798	ENCODE Processing Pipeline	516e4d54362b0ad612aa2590f1926b71		https://www.encodeproject.org/files/ENCFF291KBU/@@download/ENCFF291KBU.bigBed	GRCh38				released	s3://encode-public/2017/07/20/fe3714cd-c6d5-4263-adfd-c3a3aa22f1b6/ENCFF291KBU.bigBed				
